"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Mecánica de Fluidos";"Teoría y Problemas";"09:30";"11:30";"A12+A13 S";"Q308";1;"56IQ"
"Lunes";"Industria de Procesos Químicos";"Teoría y Problemas";"12:00";"14:00";"A12+A13 S";"Q308";1;"56IQ"
"Lunes";"Experimentación en Ingeniería Química II";"Laboratorio";"15:30";"19:30";"Presencial-Online";"Q308";1;"56IQ"
"Lunes";"Química Física";"Laboratorio";"15:30";"19:30";"Presencial-Online";"Q308";1;"56IQ"
"Lunes";"Industria de Procesos Químicos";"Laboratorio";"15:30";"19:30";"Presencial-Online";"Q308";1;"56IQ"
"Martes";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"09:30";"10:30";"A12+A13 S";"Q308";1;"56IQ"
"Martes";"Mecánica de Fluidos";"Teoría y Problemas";"10:30";"11:30";"A12+A13 S";"Q308";1;"56IQ"
"Martes";"Industria de Procesos Químicos";"Teoría y Problemas";"12:00";"14:00";"A12+A13 S";"Q308";1;"56IQ"
"Martes";"Electrónica";"Laboratorio";"15:30";"19:30";"Presencial";"Q308";1;"56IQ"
"Miércoles";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"09:30";"11:30";"A12+A13 S";"Q308";1;"56IQ"
"Miércoles";"Química Física";"Teoría y Problemas";"12:00";"14:00";"A12+A13 S";"Q308";1;"56IQ"
"Miércoles";"Teoría de Máquinas y Mecanismos";"Laboratorio";"15:30";"17:30";"Presencial-Online";"Q308";1;"56IQ"
"Miércoles";"Mecánica de Fluidos";"Laboratorio";"17:30";"19:30";"Presencial-Online";"Q308";1;"56IQ"
"Jueves";"Electrónica";"Teoría y Problemas";"09:30";"11:30";"A12+A13 S";"Q308";1;"56IQ"
"Jueves";"Materiales Macromoleculares";"Teoría y Problemas";"12:00";"14:00";"A12+A13 S";"Q308";1;"56IQ"
"Jueves";"Materiales Macromoleculares";"Laboratorio";"15:30";"17:30";"Presencial-Online";"Q308";1;"56IQ"
"Jueves";"Experimentación en Ingeniería Química II";"Laboratorio";"15:30";"19:30";"Presencial-Online";"Q308";1;"56IQ"
"Jueves";"Química Física";"Laboratorio";"15:30";"19:30";"Presencial-Online";"Q308";1;"56IQ"
"Jueves";"Industria de Procesos Químicos";"Laboratorio";"15:30";"19:30";"Presencial-Online";"Q308";1;"56IQ"
"Viernes";"Electrónica";"Teoría y Problemas";"09:30";"10:30";"A12+A13 S";"Q308";1;"56IQ"
"Viernes";"Química Física";"Teoría y Problemas";"10:30";"12:30";"A12+A13 S";"Q308";1;"56IQ"
"Viernes";"Química Física";"Acciones Cooperativas";"13:00";"15:00";"Lab.  A404";"Q308";1;"56IQ"
"Viernes";"Materiales Macromoleculares";"Laboratorio";"16:00";"18:00";"Presencial-Online";"Q308";1;"56IQ"
