"Asignatura";"Dia";"HoraInicio";"Duracion";"Aula";"Tipo";"HoraFinal";"Grupo";"Semestre";"Titulacion"
"NUMERICAL CALCULATIONS FOR ENGINEERING";"Lunes";"12:00";2;"";"Teoría y Problemas";"14:00";"IS";2;"IS"
"SOLVING ELECTRICAL ENGINEERING PROBLEMS USING SOFTWARE TOOLS";"Lunes";"14:30";2;NA;"Teoría y Problemas";"16:30";"IS";2;"IS"
"TOPICS IN ENGINEERING MATHEMATICS";"Martes";"09:30";2;NA;"Teoría y Problemas";"11:30";"IS";2;"IS"
"BIODEGRADABLE POLYMERS FOR FOOD PACKAGING";"Miércoles";"12:00";2;NA;"Teoría y Problemas";"14:00";"IS";2;"IS"
"SPANISH LANGUAGE COURSE";"Miércoles";"12:00";2;NA;"Teoría y Problemas";"14:00";"IS";2;"IS"
"DRAWING AND SKETCHING";"Miércoles";"17:00";2;NA;"Teoría y Problemas";"19:00";"IS";2;"IS"
"NUMERICAL CALCULATIONS FOR ENGINEERING";"Jueves";"09:30";2;NA;"Teoría y Problemas";"11:30";"IS";2;"IS"
"SPANISH LANGUAGE COURSE";"Jueves";"09:30";2;NA;"Teoría y Problemas";"11:30";"IS";2;"IS"
"FINITE ELEMENT BASED SIMULATION MODEL FOR FLUID DYNAMICS";"Martes";"11:30";2;NA;"Teoría y Problemas";"13:30";"IS";2;"IS"
"INTRODUCTION TO CHAOS IN SCIENCE AND TECHNOLOGY";"Jueves";"15:00";2;NA;"Teoría y Problemas";"17:00";"IS";2;"IS"
"TOPICS IN ENGINEERING MATHEMATICS";"Viernes";"09:30";2;NA;"Teoría y Problemas";"11:30";"IS";2;"IS"
"FUNDAMENTALS OF PHOTOVOLTAIC ENGINEERING";"Viernes";"11:30";3;NA;"Teoría y Problemas";"14:30";"IS";2;"IS"
"SUSTAINABLE DESIGN";"Viernes";"14:30";2;NA;"Teoría y Problemas";"16:30";"IS";2;"IS"
