"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Métodos Numéricos en Ingeniería";"Teoría y Problemas";"09:30";"11:30";"E105";"EE105";2;"56EE"
"Lunes";"Ampliación de Matemáticas";"Teoría y Problemas";"12:00";"14:00";"E105";"EE105";2;"56EE"
"Martes";"Física II";"Teoría y Problemas";"09:30";"11:30";"E105";"EE105";2;"56EE"
"Martes";"Estadística";"Teoría y Problemas";"12:00";"14:00";"E105";"EE105";2;"56EE"
"Martes";"Estadística";"Teoría y Problemas";"14:00";"15:00";"E105";"EE105";2;"56EE"
"Miércoles";"Informática";"Teoría y Problemas";"09:30";"11:30";"E105";"EE105";2;"56EE"
"Miércoles";"Métodos Numéricos en Ingeniería";"Teoría y Problemas";"12:00";"14:00";"E105";"EE105";2;"56EE"
"Miércoles";"Métodos Numéricos en Ingeniería";"Acciones Cooperativas";"14:00";"15:00";"E105";"EE105";2;"56EE"
"Jueves";"Ampliación de Matemáticas";"Teoría y Problemas";"08:30";"09:30";"E105";"EE105";2;"56EE"
"Jueves";"Ampliación de Matemáticas";"Teoría y Problemas";"09:30";"11:30";"E105";"EE105";2;"56EE"
"Jueves";"Física II";"Teoría y Problemas";"12:00";"14:00";"E105";"EE105";2;"56EE"
"Viernes";"Estadística";"Teoría y Problemas";"09:30";"11:30";"E105";"EE105";2;"56EE"
"Viernes";"Informática";"Teoría y Problemas";"12:00";"14:00";"E105";"EE105";2;"56EE"
"Viernes";"Física II";"Teoría y Problemas";"15:30";"19:30";"E105";"EE105";2;"56EE"
