"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Física II";"Laboratorio";"09:30";"13:30";"Presencial";"E100";2;"56IE"
"Lunes";"Estadística";"Teoría y Problemas";"16:30";"18:30";"Online";"E100";2;"56IE"
"Martes";"Física II";"Teoría y Problemas";"09:30";"11:30";"Online";"E100";2;"56IE"
"Martes";"Métodos Numéricos en Ingeniería Eléctrica";"Teoría y Problemas";"12:00";"14:00";"Online";"E100";2;"56IE"
"Martes";"Física II";"Laboratorio";"15:30";"19:30";"Presencial";"E100";2;"56IE"
"Miércoles";"Informática";"Teoría y Problemas";"09:30";"11:30";"Online";"E100";2;"56IE"
"Miércoles";"Métodos Numéricos en Ingeniería Eléctrica";"Teoría y Problemas";"12:00";"14:00";"Online";"E100";2;"56IE"
"Miércoles";"Métodos Numéricos en Ingeniería Eléctrica";"Acciones Cooperativas";"14:00";"15:00";"Online";"E100";2;"56IE"
"Jueves";"Ampliación de Matemáticas";"Teoría y Problemas";"09:30";"11:30";"A21+A22, A23+A24";"E100";2;"56IE"
"Jueves";"Estadística";"Teoría y Problemas";"12:00";"14:00";"B41";"E100";2;"56IE"
"Viernes";"Física II";"Teoría y Problemas";"09:30";"11:30";"Online";"E100";2;"56IE"
"Viernes";"Informática";"Teoría y Problemas";"12:00";"14:00";"Online";"E100";2;"56IE"
"Viernes";"Ampliación de Matemáticas";"Teoría y Problemas";"16:30";"18:30";"Online";"E100";2;"56IE"
