"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Expresión Gráfica y Diseño Asistido por Ordenador";"Teoría y Problemas";"09:30";"11:30";"B11, A25";"A104";1;"56IA"
"Lunes";"Cálculo Infinitesimal";"Teoría y Problemas";"12:00";"14:00";"A21+A22, A23+A24";"A104";1;"56IA"
"Lunes";"Álgebra Lineal";"Teoría y Problemas";"16:30";"18:30";"Online";"A104";1;"56IA"
"Martes";"Química";"Teoría y Problemas";"09:00";"11:30";"B41, B42";"A104";1;"56IA"
"Martes";"Álgebra Lineal";"Teoría y Problemas";"12:00";"14:00";"B41, B42";"A104";1;"56IA"
"Martes";"Física I";"Teoría y Problemas";"16:30";"18:30";"Online";"A104";1;"56IA"
"Miércoles";"Física I";"Teoría y Problemas";"09:30";"11:30";"Online";"A104";1;"56IA"
"Miércoles";"Física I";"Laboratorio";"15:30";"19:30";"Online";"A104";1;"56IA"
"Jueves";"Química";"Teoría y Problemas";"16:30";"19:00";"Online";"A104";1;"56IA"
"Viernes";"Expresión Gráfica y Diseño Asistido por Ordenador";"Teoría y Problemas";"12:00";"14:00";"Online";"A104";1;"56IA"
"Viernes";"Cálculo Infinitesimal";"Teoría y Problemas";"16:30";"18:30";"Online";"A104";1;"56IA"
