"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Oficina Técnica";"Acciones Cooperativas";"09:30";"11:30";"Online";"A302";1;"56IA"
"Lunes";"Oficina Técnica";"Acciones Cooperativas";"11:30";"13:30";"Online";"A302";1;"56IA"
"Lunes";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"17:30";"19:30";"Online";"A302";1;"56IA"
"Lunes";"Oficina Técnica";"Teoría y Problemas";"15:00";"17:00";"Online";"A302";1;"56IA"
"Martes";"Electrónica Digital y Microprocesadores";"Laboratorio";"09:30";"13:30";"Presencial en laborartorio/Online";"A302";1;"56IA"
"Martes";"Electrónica Analógica";"Laboratorio";"09:30";"13:30";"Presencial en laboratorio/Online";"A302";1;"56IA"
"Martes";"Electrónica Analógica";"Teoría y Problemas";"15:00";"16:00";"Online";"A302";1;"56IA"
"Martes";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"16:00";"17:00";"Online";"A302";1;"56IA"
"Martes";"Electrónica Digital y Microprocesadores";"Teoría y Problemas";"17:30";"19:30";"Online";"A302";1;"56IA"
"Miércoles";"Electrónica Analógica";"Laboratorio";"09:30";"13:30";"Presencial en laboratorio/Online";"A302";1;"56IA"
"Miércoles";"Electrónica Digital y Microprocesadores";"Laboratorio";"09:30";"13:30";"Presencial en laboratorio/Online";"A302";1;"56IA"
"Miércoles";"Electrónica Analógica";"Teoría y Problemas";"15:00";"17:00";"Online";"A302";1;"56IA"
"Miércoles";"Regulación Automática";"Teoría y Problemas";"17:30";"19:30";"Online";"A302";1;"56IA"
"Jueves";"Teoría de Máquinas y Mecanismos";"Laboratorio";"09:30";"11:30";"Online";"A302";1;"56IA"
"Jueves";"Regulación Automática";"Laboratorio";"11:30";"13:30";"Online";"A302";1;"56IA"
"Jueves";"Regulación Automática";"Teoría y Problemas";"15:00";"17:00";"Online";"A302";1;"56IA"
"Jueves";"Electrónica Digital y Microprocesadores";"Teoría y Problemas";"17:30";"19:30";"Online";"A302";1;"56IA"
"Viernes";"Electrónica Digital y Microprocesadores";"Laboratorio";"09:30";"13:30";"Presencial en laboratorio/Online";"A302";1;"56IA"
"Viernes";"Electrónica Analógica";"Laboratorio";"09:30";"13:30";"Presencial en laboratroio/Online";"A302";1;"56IA"
"Viernes";"Regulación Automática";"Laboratorio";"09:30";"13:30";"Online";"A302";1;"56IA"
"Viernes";"Electrónica Analógica";"Teoría y Problemas";"15:00";"17:00";"Online";"A302";1;"56IA"
"Viernes";"Electrónica Digital y Microprocesadores";"Teoría y Problemas";"17:30";"18:30";"Online";"A302";1;"56IA"
