"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Automatización Industrial";"Teoría y Problemas";"09:15";"11:15";"B42";"A302";2;"56IA"
"Lunes";"Informática Industrial y Comunicaciones";"Teoría y Problemas";"11:45";"13:45";"A12+A13";"A302";2;"56IA"
"Lunes";"Automatización Industrial";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Lunes";"Informática Industrial y Comunicaciones";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Lunes";"Electrónica de Potencia";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Martes";"Informática Industrial y Comunicaciones";"Teoría y Problemas";"09:15";"11:15";"A12+A13";"A302";2;"56IA"
"Martes";"Robótica";"Teoría y Problemas";"11:45";"12:45";"B42";"A302";2;"56IA"
"Martes";"Electrónica de Potencia";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Martes";"Instrumentación Electrónica";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Martes";"Automatización Industrial";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Miércoles";"Electrónica de Potencia";"Teoría y Problemas";"09:15";"10:15";"B42";"A302";2;"56IA"
"Miércoles";"Instrumentación Electrónica";"Teoría y Problemas";"10:15";"11:15";"B42";"A302";2;"56IA"
"Miércoles";"Medio Ambiente";"Teoría y Problemas";"11:45";"14:15";"B42";"A302";2;"56IA"
"Miércoles";"Robótica";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Miércoles";"Electrónica de Potencia";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Miércoles";"Instrumentación Electrónica";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Jueves";"Robótica";"Teoría y Problemas";"09:15";"11:15";"B42";"A302";2;"56IA"
"Jueves";"Automatización Industrial";"Teoría y Problemas";"11:45";"13:45";"B42";"A302";2;"56IA"
"Jueves";"Automatización Industrial";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Jueves";"Informática Industrial y Comunicaciones";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Jueves";"Robótica";"Laboratorio";"15:15";"19:15";"";"A302";2;"56IA"
"Viernes";"Instrumentación Electrónica";"Teoría y Problemas";"09:15";"11:15";"B42";"A302";2;"56IA"
"Viernes";"Electrónica de Potencia";"Teoría y Problemas";"11:45";"13:45";"B42";"A302";2;"56IA"
