"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Comentarios";"Grupo";"Semestre";"Titulacion"
"Lunes";"Conocimientos Avanzados de Materiales y Aplicaciones";"Teoría y Problemas";"16:00";"17:30";"Mstr4";"1,5h/sem";"56AE";1;"56AE"
"Lunes";"Simulación de Sistemas Mecánicos y Eléctricos";"Teoría y Problemas";"17:30";"20:30";"Mstr4";NA;"56AE";1;"56AE"
"Martes";"Conocimientos Avanzados de Materiales y Aplicaciones";"Teoría y Problemas";"16:00";"17:30";"Mstr4";NA;"56AE";1;"56AE"
"Martes";"Simulación de Sistemas Mecánicos y Eléctricos";"Teoría y Problemas";"17:30";"19:00";"Mstr4";NA;"56AE";1;"56AE"
"Miércoles";"Automatización";"Teoría y Problemas";"16:00";"19:00";"Mstr4";NA;"56AE";1;"56AE"
"Miércoles";"Sensores y Adquisición de Datos";"Teoría y Problemas";"16:00";"19:00";"Mstr4";NA;"56AE";1;"56AE"
"Jueves";"Mecánica de los Materiales";"Teoría y Problemas";"17:00";"19:00";"Mstr4";NA;"56AE";1;"56AE"
"Jueves";"Seguridad en Trabajos en Instalaciones Electromecánicas";"Teoría y Problemas";"19:00";"21:00";"Mstr4";NA;"56AE";1;"56AE"
"Viernes";"Seguridad en Trabajos en Instalaciones Electromecánicas";"Teoría y Problemas";"16:30";"17:30";"Mstr4";NA;"56AE";1;"56AE"
"Viernes";"Instrumentación y Control";"Teoría y Problemas";"17:30";"20:30";"Mstr4";NA;"56AE";1;"56AE"
