"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Ampliación de Matemáticas";"Teoría y Problemas";"09:30";"11:30";"A21";"D102";2;"56DD"
"Lunes";"Física II";"Teoría y Problemas";"12:00";"14:00";"A21";"D102";2;"56DD"
"Lunes";"Física II";"Laboratorio";"15:30";"19:30";"";"D102";2;"56DD"
"Martes";"Estadística";"Acciones Cooperativas";"08:30";"09:30";"A04";"D102";2;"56DD"
"Martes";"Estadística";"Laboratorio";"08:30";"09:30";"A04";"D102";2;"56DD"
"Martes";"Estadística";"Teoría y Problemas";"09:30";"11:30";"A04";"D102";2;"56DD"
"Martes";"Informática";"Teoría y Problemas";"12:00";"14:00";"A21";"D102";2;"56DD"
"Martes";"Informática";"Laboratorio";"12:00";"14:00";"ADI-pi";"D102";2;"56DD"
"Miércoles";"Dibujo Artístico";"Teoría y Problemas";"08:30";"11:30";"A31";"D102";2;"56DD"
"Miércoles";"Ampliación de Matemáticas";"Teoría y Problemas";"12:00";"14:00";"A21";"D102";2;"56DD"
"Miércoles";"Ampliación de Matemáticas";"Acciones Cooperativas";"14:00";"15:00";"A21";"D102";2;"56DD"
"Jueves";"Física II";"Teoría y Problemas";"09:30";"11:30";"A21";"D102";2;"56DD"
"Jueves";"Estadística";"Teoría y Problemas";"12:00";"13:00";"A04";"D102";2;"56DD"
"Jueves";"Estadística";"Acciones Cooperativas";"13:00";"15:00";"A04";"D102";2;"56DD"
"Jueves";"Estadística";"Laboratorio";"13:00";"15:00";"A04";"D102";2;"56DD"
"Viernes";"Informática";"Teoría y Problemas";"09:30";"11:30";"A21-ADI-pi";"D102";2;"56DD"
"Viernes";"Informática";"Laboratorio";"09:30";"11:30";"";"D102";2;"56DD"
"Viernes";"Dibujo Artístico";"Teoría y Problemas";"12:00";"14:00";"A31";"D102";2;"56DD"
