"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56IA"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56IA"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56IA"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56IA"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56IE"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56IE"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56IE"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56IE"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56IQ"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56IQ"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56IQ"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56IQ"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56IM"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56IM"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56IM"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56IM"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56DD"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56DD"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56DD"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56DD"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56DM"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56DM"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56DM"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56DM"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56EE"
"Lunes";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56EE"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";12:00;14:00;"Mstr3";"1";1;"56EE"
"Miércoles";"Nivelación de Inglés";"Teoría y Problemas";17:30;19:30;"A27";"2";1;"56EE"







